0;2026-03-23 19:30:37.145;{0.0871557,0.996195}
1;2026-03-23 19:30:42.145;{0.173648,0.984808}
2;2026-03-23 19:30:47.144;{0.258819,0.965926}
3;2026-03-23 19:30:52.147;{0.34202,0.939693}
4;2026-03-23 19:30:57.145;{0.422618,0.906308}
5;2026-03-23 19:31:02.148;{0.5,0.866025}
6;2026-03-23 19:31:07.146;{0.573576,0.819152}
7;2026-03-23 19:31:12.147;{0.642788,0.766044}
8;2026-03-23 19:31:17.147;{0.707107,0.707107}
9;2026-03-23 19:31:22.144;{0.766044,0.642788}
10;2026-03-23 19:31:27.144;{0.819152,0.573576}
11;2026-03-23 19:31:32.143;{0.866025,0.5}
12;2026-03-23 19:31:37.144;{0.906308,0.422618}
13;2026-03-23 19:31:55.145;{0.939693,0.34202}
14;2026-03-23 19:31:57.143;{0.965926,0.258819}
15;2026-03-23 19:31:59.142;{0.984808,0.173648}
16;2026-03-23 19:32:01.142;{0.996195,0.0871557}
17;2026-03-23 19:32:03.144;{1,6.12323e-17}
18;2026-03-23 19:32:05.144;{0.996195,-0.0871557}
19;2026-03-23 19:32:07.144;{0.984808,-0.173648}
20;2026-03-23 19:32:09.142;{0.965926,-0.258819}
21;2026-03-23 19:32:11.141;{0.939693,-0.34202}
22;2026-03-23 19:32:13.143;{0.906308,-0.422618}
23;2026-03-23 19:32:15.142;{0.866025,-0.5}
24;2026-03-23 19:32:17.141;{0.819152,-0.573576}
25;2026-03-23 19:32:19.141;{0.766044,-0.642788}
26;2026-03-23 19:32:21.142;{0.707107,-0.707107}
27;2026-03-23 19:32:23.144;{0.642788,-0.766044}
28;2026-03-23 19:32:25.144;{0.573576,-0.819152}
29;2026-03-23 19:32:27.145;{0.5,-0.866025}
30;2026-03-23 19:32:29.141;{0.422618,-0.906308}
31;2026-03-23 19:32:31.141;{0.34202,-0.939693}
32;2026-03-23 19:32:33.141;{0.258819,-0.965926}
33;2026-03-23 19:32:35.143;{0.173648,-0.984808}
34;2026-03-23 19:32:37.141;{0.0871557,-0.996195}
35;2026-03-23 19:32:39.150;{1.22465e-16,-1}
36;2026-03-23 19:32:41.157;{-0.0871557,-0.996195}
37;2026-03-23 19:32:43.151;{-0.173648,-0.984808}
38;2026-03-23 19:32:45.140;{-0.258819,-0.965926}
39;2026-03-23 19:32:47.144;{-0.34202,-0.939693}
40;2026-03-23 19:32:49.141;{-0.422618,-0.906308}
41;2026-03-23 19:32:51.140;{-0.5,-0.866025}
42;2026-03-23 19:32:53.141;{-0.573576,-0.819152}
43;2026-03-23 19:32:55.146;{-0.642788,-0.766044}
44;2026-03-23 19:32:57.140;{-0.707107,-0.707107}
45;2026-03-23 19:32:59.141;{-0.766044,-0.642788}
46;2026-03-23 19:33:01.142;{-0.819152,-0.573576}
47;2026-03-23 19:33:03.141;{-0.866025,-0.5}
48;2026-03-23 19:33:05.142;{-0.906308,-0.422618}
49;2026-03-23 19:33:07.142;{-0.939693,-0.34202}
50;2026-03-23 19:33:09.141;{-0.965926,-0.258819}
51;2026-03-23 19:33:11.154;{-0.984808,-0.173648}
52;2026-03-23 19:33:13.142;{-0.996195,-0.0871557}
53;2026-03-23 19:33:15.141;{-1,-1.83697e-16}
54;2026-03-23 19:33:17.141;{-0.996195,0.0871557}
55;2026-03-23 19:33:19.141;{-0.984808,0.173648}
56;2026-03-23 19:33:21.141;{-0.965926,0.258819}
57;2026-03-23 19:33:23.142;{-0.939693,0.34202}
58;2026-03-23 19:33:25.146;{-0.906308,0.422618}
59;2026-03-23 19:33:27.141;{-0.866025,0.5}
60;2026-03-23 19:33:29.142;{-0.819152,0.573576}
61;2026-03-23 19:33:31.141;{-0.766044,0.642788}
62;2026-03-23 19:33:33.142;{-0.707107,0.707107}
63;2026-03-23 19:33:35.143;{-0.642788,0.766044}
64;2026-03-23 19:33:37.142;{-0.573576,0.819152}
65;2026-03-23 19:33:39.147;{-0.5,0.866025}
66;2026-03-23 19:33:41.140;{-0.422618,0.906308}
67;2026-03-23 19:33:43.145;{-0.34202,0.939693}
